Leaf No.,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,560 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,Avg Total Chlorophyll (µg/cm2),leaf
67,0.1538253582049202,0.0805258650413195,0.0890681612982657,0.0724726110357263,0.0948384415455521,0.1595831331843528,0.1569428628843191,0.1145700494606996,0.0995463941959524,0.0803858520900321,0.1313834157939824,0.1928495575221238,0.4902795698924732,0.4848721037341458,0.3792119521656888,0.4491053947700002,0.4298227882218179,0.4014927693982273,43.91946335,mango
68,0.1666666666666666,0.0835845132300437,0.0753686744915946,0.0749223637837296,0.0873265471959109,0.1190973455023913,0.1511822627101614,0.1158214647518026,0.142533608964146,0.0814268199588239,0.1021871011730974,0.2017699115044247,0.4708387096774193,0.448522638701906,0.3455163348401783,0.3761025064454223,0.4320126676099993,0.4014927693982273,55.30040634333333,mango
69,0.1923492835901595,0.0825723787385022,0.0949427201200708,0.0798036555046581,0.1600945344920632,0.2982446064200831,0.2735749212941255,0.2098325487158095,0.1840131934111946,0.1231811978070277,0.1587615168097344,0.3175221238938053,0.6342365591397849,0.5575710337986254,0.3848225449648937,0.4203578420919999,0.4057004244996968,0.4014927693982273,13.364435326666666,mango
70,0.1795079751284131,0.0672791377948815,0.0743876270769086,0.0651506734543335,0.1197188777440745,0.2446011988053716,0.2562931207716524,0.1924080805673082,0.1451736079107798,0.1085613824053297,0.1441633594992919,0.3145486725663717,0.6692473118279569,0.5939204988308652,0.3820332788304318,0.429197278384089,0.4254430294454551,0.4091121132016794,17.737077646666666,mango
71,0.1666666666666666,0.0733964341723298,0.081892053515941,0.0667716994362836,0.1117355515442494,0.2186253419936926,0.2159823162971398,0.1575353077885704,0.127829275679092,0.0939415670036318,0.1350373258273746,0.2729911504424779,0.6264516129032258,0.5636647062991568,0.365169439902536,0.4159187392172446,0.4078903038878782,0.3939511740009329,20.795965196666668,mango
72,0.2051905920519059,0.1049950505511128,0.1200669144690813,0.0912054787035434,0.1727673669910862,0.3154539378876798,0.2800589456762007,0.2210476133722662,0.1870284540534846,0.1294270050197784,0.1697057640867847,0.3204955752212389,0.6108817204301075,0.5454545454545454,0.4045077105575326,0.4513152538430224,0.4298227882218179,0.4242730524024257,14.375718563333336,mango
73,0.1409840497431738,0.0693145291350143,0.0884193410957244,0.061070787836841,0.0821594059958687,0.1288820200079363,0.1180655100810503,0.0902806745724331,0.094644949767601,0.0751578801267667,0.1368555394325075,0.1602123893805309,0.4747096774193549,0.4969885920782257,0.4016863838927896,0.4800821912497334,0.4320126676099993,0.3939511740009329,66.03464509999999,mango
74,0.1666666666666666,0.0856310269272264,0.0991835027692115,0.0765433897656797,0.1023503358951932,0.1713884421795701,0.158389711300154,0.1176807103271557,0.1033187617680751,0.0824677878276157,0.1240930785503243,0.2017699115044247,0.5019354838709678,0.4908949195776943,0.3763906255009458,0.4314071374571113,0.4298227882218179,0.4014927693982273,43.31667256,mango
75,0.1409840497431738,0.0662558809462901,0.078956728382757,0.0594497618548908,0.0788717891459019,0.139340239343372,0.1655837631455556,0.1257731958762886,0.1010573162863576,0.0908186633972564,0.1441633594992919,0.1987964601769911,0.4669247311827956,0.4666619428895345,0.3904331377640986,0.4645937930098668,0.4232531500572737,0.3939511740009329,46.95531819666667,mango
76,0.1409840497431738,0.058103193228709,0.0675359293958545,0.0504885845164698,0.0694865734968457,0.1319155823813203,0.1634268872663943,0.1220427864847148,0.1085987596613427,0.0845497235651993,0.1259112921554572,0.1869734513274336,0.4747096774193549,0.460639127045986,0.3792119521656888,0.4446856766239556,0.4144936325045482,0.3864095786036386,44.48305078333333,mango
77,0.1538253582049202,0.084607770078635,0.0952671302213414,0.0716620980447512,0.097183194695151,0.1636296234414485,0.1591131355080715,0.1158214647518026,0.0972849487142349,0.0814268199588239,0.1313834157939824,0.1928495575221238,0.4824946236559139,0.4666619428895345,0.3792119521656888,0.4446856766239556,0.4232531500572737,0.3939511740009329,42.40519991,mango
78,0.2178967288456339,0.1019364023623886,0.1141923556472763,0.0936461245640077,0.1769978475414208,0.304995718552244,0.2800589456762007,0.2403432453369882,0.2111604144995852,0.1544796317287006,0.1770135841535691,0.3412389380530973,0.5875698924731182,0.5212215687663856,0.4045077105575326,0.4468955356969779,0.4517552725557577,0.43181464779972,11.59273773,mango
79,0.2051905920519059,0.0876664182673592,0.1004889602851682,0.0765433897656797,0.1450707457927808,0.2898122428520707,0.283662669971197,0.2222871104225016,0.1783546420530106,0.1315320733766684,0.15145369674295,0.2967079646017699,0.5758709677419355,0.5151278962658542,0.4072969766919945,0.4513152538430224,0.4429957550030322,0.43181464779972,16.33250414666667,mango
80,0.1666666666666666,0.1049950505511128,0.1301783473845901,0.0708424781662371,0.1225350627438574,0.2257106159019234,0.1821421394601111,0.1332459329003039,0.127829275679092,0.085590691433991,0.1532893931712093,0.2166371681415929,0.552516129032258,0.5333380571104656,0.4213394889551473,0.4911508713435555,0.4363924263863621,0.4091121132016794,37.600818185,mango
