,Leaf No.,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,led current,saturation check,time,Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
2520,43,1,64,50,0.0839467206847132,0.0859568988959433,0.1136916985562271,0.1121573242702199,0.093043463586012,0.0852772367186046,White LED,12.5 mA,b'OK Read',10:48:57,73.38593289333333,56.98831907,16.397613826666667,3.7090940636666665,2.8803850096666666,0.8287090536666667
2580,44,1,64,50,0.0960392749349749,0.0849118250004027,0.1243678640189254,0.1141571526391052,0.1156521866654305,0.0864244809491358,White LED,12.5 mA,b'OK Read',11:00:57,81.06435594666667,62.70174247,18.36261347,3.803150133333333,2.943531867666666,0.8596182656666667
2640,45,1,64,50,0.0962145124766697,0.0877857782131394,0.1200599271967645,0.1191567410818486,0.1010435022020344,0.088336554666688,White LED,12.5 mA,b'OK Read',11:09:43,72.93234145333334,55.46197134333334,17.470370106666664,4.180418795666667,3.179071033,1.0013477623333331
2700,46,1,64,50,0.1642130948789678,0.1345525776312185,0.1685708977133088,0.1783184558918372,0.1533913158313827,0.1537284749395945,White LED,12.5 mA,b'OK Read',11:21:35,93.55306406333334,69.19565678666667,24.35740728,3.6767387763333335,2.719146354,0.9575924226666668
2760,47,1,64,50,0.1293375413620806,0.1042456062654496,0.1562090421169716,0.1516540309186199,0.138782594520637,0.1162523305092609,White LED,12.5 mA,b'OK Read',11:34:05,81.20779357666666,62.42686724333333,18.78092633,3.382408001,2.60037103,0.782036971
2820,48,1,64,50,0.097967037108146,0.096407552048895,0.1327964193731987,0.1326556088526193,0.1095652255938447,0.0963670974691775,White LED,12.5 mA,b'OK Read',11:43:03,65.36972012,50.656027916666666,14.713692203333332,3.421205630333333,2.6514603556666665,0.7697452746666666
2880,49,1,64,50,0.1074307596468348,0.1617243702115929,0.3118561642591573,0.2938088508042396,0.2473043400208571,0.1586997831996153,White LED,12.5 mA,b'OK Read',09:29:28,11.835600826666669,9.209128135,2.6264726916666667,0.7321769856666668,0.5698973303333333,0.1622796556666666
2940,50,1,64,50,0.1033999082300809,0.1612018332638226,0.2981831853185591,0.2866427787084489,0.2269565334661999,0.1525813141146779,White LED,12.5 mA,b'OK Read',09:40:11,13.642617876666668,10.602488346666666,3.040129526,0.8591487626666666,0.6678689413333333,0.1912798213333333
3000,51,1,64,50,0.0991938192716322,0.1541476273701506,0.2991197069780826,0.2843096397712393,0.2213912940177517,0.1464626782185111,White LED,12.5 mA,b'OK Read',09:52:10,15.485848796666668,12.098013880000002,3.3878349170000006,0.9529809633333332,0.744524815,0.2084561483333333
3060,52,1,64,50,0.0993690866562326,0.158066654478428,0.299681592057509,0.2873093998450974,0.2213912940177517,0.1491395814230841,White LED,12.5 mA,b'OK Read',10:04:03,14.920746976666669,11.665336823333334,3.255410153333333,0.8838984693333334,0.6907978273333333,0.193100642
