,Leaf No.,Read number,gain,integration time,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,560 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,led,led current,saturation check,time,Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
19584,81,1,64,50,0.1127116127116127,0.0912834745241106,0.1464616133425968,0.062296614752821,0.1053380516392368,0.1677378161112041,0.1064474836623324,0.0843859987464442,0.0766333272916014,0.0580815762993471,0.0656624665216688,0.1231096755248862,0.3886601628926877,0.3766816143497757,0.1610407196053777,0.1304761904761904,0.0984638630067993,0.0930787589498806,b'White',12.5 mA,b'OK Read',10:41:11,50.659245633333335,40.80449726333333,9.854748372333331,4.361709131333334,3.516600148,0.8451089829999999
19585,81,1,64,50,0.4292168674698794,0.4283489096573208,0.4280821917808219,0.5006993006993007,0.3999999999999999,0.4432989690721649,0.544839255499154,0.4995215311004785,0.5007278020378456,0.3335227272727273,0.8179442508710802,0.5376146788990825,0.636180904522613,0.5261538461538462,0.4100286532951289,0.4176874555983724,0.3954802259887006,0.4888255416191562,b'IR',12.5 mA,b'OK Read',10:41:12,50.659245633333335,40.80449726333333,9.854748372333331,4.361709131333334,3.516600148,0.8451089829999999
19586,81,1,64,50,0.0578264990688126,0.0314302369440729,0.0103301098991731,0.0064872192099147,0.0133302014211051,0.0366106812606152,0.062518173887758,0.0639511201629327,0.0,0.061081081081081,0.1661341853035143,0.1083172147001934,1.0,0.7514619883040935,0.2514285714285714,0.0,0.0665983606557377,0.0765588003157063,b'UV',12.5 mA,b'OK Read',10:41:13,50.659245633333335,40.80449726333333,9.854748372333331,4.361709131333334,3.516600148,0.8451089829999999
19587,81,1,64,50,0.1281427412814274,0.089701809607492,0.1275674323526767,0.0643310535758193,0.1018789040450093,0.1632954616653787,0.1101480340277312,0.0890411775221977,0.0776758792315693,0.0688889402947095,0.0748090001573454,0.1364955752212389,0.392989247311828,0.381846524480975,0.3286524959122823,0.3871711865392443,0.3574556970554545,0.3636292955994402,b'White IR',12.5 mA,b'OK Read',10:41:14,50.659245633333335,40.80449726333333,9.854748372333331,4.361709131333334,3.516600148,0.8451089829999999
19588,81,1,64,50,0.0593487747566297,0.0547312967840791,0.1098042637154659,0.0482695621483588,0.0917727673107061,0.1592207246666359,0.1054498674567285,0.0836886616881434,0.0765468023753407,0.0584034457363476,0.0657004493085543,0.1207693854299309,0.3920060131759296,0.3825029423303256,0.1639068200954251,0.1277032065622669,0.0972903776402816,0.0943067389620449,b'White UV',12.5 mA,b'OK Read',10:41:14,50.659245633333335,40.80449726333333,9.854748372333331,4.361709131333334,3.516600148,0.8451089829999999
19589,81,1,64,50,0.0980623336341334,0.0560251775171014,0.0266010749749476,0.0251275092414954,0.0701205377839592,0.099969049829774,0.2094331458243185,0.2790387182910547,0.300174520069808,0.2459135488557936,0.5003422313483915,0.3225558121632024,0.6921768707482994,0.5239420935412027,0.412497622217995,0.4176874555983724,0.3930523178048687,0.4687834081676288,b'UV IR',12.5 mA,b'OK Read',10:41:15,50.659245633333335,40.80449726333333,9.854748372333331,4.361709131333334,3.516600148,0.8451089829999999
19590,81,1,64,50,0.0892641188612164,0.070628241510911,0.1171903259425329,0.0559395732126445,0.0972231266019854,0.1612694869449741,0.1100853578463558,0.0892247167188862,0.0776758792315693,0.0693772330514223,0.0774941667255886,0.1384283596171991,0.3976782894456062,0.3855201070497921,0.3277278685379967,0.3871711865392443,0.3528081667941342,0.3550977913289209,b'White UV IR',12.5 mA,b'OK Read',10:41:16,50.659245633333335,40.80449726333333,9.854748372333331,4.361709131333334,3.516600148,0.8451089829999999
19800,82,1,64,50,0.1127116127116127,0.0964088676014727,0.1500649623375451,0.0639374467187944,0.1091139445911113,0.1768704990788812,0.0876237957286262,0.0717901740513957,0.0743660300878248,0.0527929235017433,0.0712886236586198,0.107693437087065,0.376532712789761,0.362988468930173,0.1610407196053777,0.1304761904761904,0.0818433643918408,0.0930787589498806,b'White',12.5 mA,b'OK Read',10:51:09,49.25679658333333,40.01370399333333,9.243092593,4.220262626,3.4283256566666664,0.7919369700000001
19801,82,1,64,50,0.4292168674698794,0.2850467289719626,0.285958904109589,0.3748251748251748,0.3330396475770925,0.3333333333333333,0.544839255499154,0.4497607655502392,0.5007278020378456,0.3073863636363636,0.7273519163763066,0.4605504587155963,0.5457286432160804,0.4738461538461538,0.3974689589302769,0.4029407332457859,0.3526429842891417,0.4555302166476624,b'IR',12.5 mA,b'OK Read',10:51:10,49.25679658333333,40.01370399333333,9.243092593,4.220262626,3.4283256566666664,0.7919369700000001
19802,82,1,64,50,0.063925657427827,0.0339402667763947,0.0085981154250603,0.0064872192099147,0.0088672264959774,0.0243442158897905,0.0468159348647862,0.0639511201629327,0.0,0.061081081081081,0.1661341853035143,0.1083172147001934,1.0,0.7514619883040935,0.2514285714285714,0.0,0.0665983606557377,0.0765588003157063,b'UV',12.5 mA,b'OK Read',10:51:10,49.25679658333333,40.01370399333333,9.243092593,4.220262626,3.4283256566666664,0.7919369700000001
