Leaf No.,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,Avg Total Chlorophyll (µg/cm2),leaf
70,0.0644935331393455,0.0945787156329261,0.1612661474132479,0.1501541333611606,0.1081739065198953,0.0780115234031359,55.10028373333333,rice
71,0.0615141965014773,0.085434361948173,0.1378535246694751,0.1299891593470855,0.1036521840124213,0.0730401317375003,51.70545849,rice
72,0.0658955528445265,0.0979751628922059,0.1672598092644073,0.1558203429405525,0.1151304281949434,0.0826004169196463,62.56345445333333,rice
73,0.0622152063540679,0.0898758831029934,0.1487169735268622,0.1374885420112006,0.1043478251257213,0.071892887506969,54.4024687,rice
74,0.0599369094116959,0.0856956304220581,0.1417868249115389,0.1319889877159707,0.0966956254900237,0.0711281414255629,51.221634323333326,rice
75,0.0592358697161997,0.0870019727914839,0.1490916101069593,0.1373218867270384,0.0963478233570485,0.067686408733969,49.08002853,rice
76,0.0641430282130502,0.0898758831029934,0.1520883886894997,0.141488198748971,0.1076521848967577,0.077246693916115,42.138644846666665,rice
77,0.0609884241905816,0.0901371944781058,0.1532121937437122,0.1413215785058695,0.1008695458645224,0.0707456432764377,51.67352338,rice
78,0.0683490873285933,0.0856956304220581,0.1395392496984735,0.1278226756940381,0.0932173830761744,0.0680688234774795,56.69399447999999,rice
79,0.0616894638860778,0.0838667511048621,0.1384154097489015,0.1288225723579504,0.1012173848448472,0.0730401317375003,54.64510465333333,rice
80,0.0606379192642864,0.0872632412653691,0.139913851383211,0.1328222641367815,0.10069562637436,0.0711281414255629,44.734561785,rice
81,0.0580091173956191,0.0822991402615511,0.1365424362205736,0.1271560545573895,0.0926956614530369,0.066156833165542,50.659245633333335,rice
82,0.057308077700123,0.0778576191067308,0.1266154741273503,0.1183234646610378,0.0913043423790874,0.0665392479090525,49.25679658333333,rice
83,0.0606379192642864,0.0903984629519909,0.1526503086642857,0.1429880963064304,0.1019130628054967,0.0692160677080108,47.694628755,rice
84,0.0686996220977942,0.0940561786851559,0.1528375920589746,0.1429880963064304,0.1069565437834578,0.0799235137150733,58.98609637333334,rice
85,0.0651945131490304,0.0945787156329261,0.1519011052948107,0.1426547857381061,0.1067825874459458,0.0791586842280524,61.19142675333333,rice
86,0.0231335638787319,0.0337034615262759,0.0357745132354696,0.0331638759323594,0.0246956464193182,0.0175908279846355,56.753482196666674,rice
87,0.0630914835912588,0.0885695407335676,0.1481550884474358,0.1369885761587141,0.1038260666552341,0.0753346201985629,55.07307381,rice
88,0.0609884241905816,0.0862181673698285,0.1464693983137969,0.1361552997379033,0.1040000229927461,0.0726578003996046,44.86081283666667,rice
89,0.064318265754745,0.0917047624201895,0.1494662117916968,0.1393217150959236,0.1081739065198953,0.0783939381466463,66.96124118666667,rice
90,0.0627409786649635,0.0896146575303355,0.1502154151611718,0.1396550256642479,0.1019130628054967,0.0738049612245212,64.04693122,rice
91,0.0604626817225915,0.0870019727914839,0.1460947617336998,0.1359886794948018,0.1031304255419342,0.0726578003996046,42.96799257999999,rice
92,0.0825446711366265,0.0992815481628589,0.1650121642606228,0.1529872731919171,0.1151304281949434,0.0822179187705211,53.40243961666667,rice
93,0.0664212953125166,0.085434361948173,0.1369170379053111,0.1281559862623624,0.1024347844286343,0.0734225464810107,53.21092012333333,rice
94,0.110935838752693,0.0919660308940746,0.1520883886894997,0.1403216468008966,0.138086953407337,0.1036328941902609,64.74168022666667,rice
95,0.0615141965014773,0.0893533890564503,0.1519011052948107,0.141488198748971,0.1071304264262706,0.0757170349420733,59.03500507,rice
96,0.0681738497868985,0.1011103845788278,0.1659486859201464,0.1564869640772012,0.1158260693082433,0.0845124906371984,52.68914196666666,rice
97,0.0636172559021545,0.0911822254724191,0.1556471221421856,0.1436546824020184,0.1031304255419342,0.0738049612245212,50.94865640333333,rice
98,0.0615141965014773,0.0870019727914839,0.1477804867626983,0.1366553006314504,0.098782585677273,0.0711281414255629,60.41271053666666,rice
99,0.0618647014277726,0.0883082722596825,0.1520883886894997,0.1409882328964846,0.1097391082366575,0.0806883432020941,52.74285287666667,rice
100,0.0580091173956191,0.0833442141570918,0.1397265330931625,0.1298225040629233,0.0970434644703484,0.0684512382209899,48.13026337666667,rice
1,0.1207500960605827,0.1452645421592827,0.2315040156445667,0.2263144769093252,0.186956524622836,0.1418737847020007,46.05352228,sugarcane
2,0.1039256805409766,0.1303723249502833,0.2071549061366298,0.2028164322530676,0.1662608790878542,0.129254264977386,45.52574725,sugarcane
3,0.1053277300890633,0.1348138461051037,0.2260723086635529,0.214148816370791,0.1686956782554283,0.1219884682563026,36.24924508333333,sugarcane
4,0.1144409178585512,0.1410842465771202,0.2346881474125152,0.2269810630049132,0.1732174007629022,0.1239006253794694,30.190986613333333,sugarcane
5,0.1156677000220374,0.1640757864765593,0.2614721853189255,0.2574785244727994,0.2123478490028038,0.1564052947385528,25.644963176666664,sugarcane
6,0.1067297497942443,0.1572828490567725,0.2539801516241757,0.2478126931966975,0.1880000047164607,0.1411090386205945,30.719148333333333,sugarcane
7,0.0958640075503744,0.1191378234744489,0.1843041684722834,0.1801516640176209,0.1405217525749112,0.1108986909113443,46.64230506333333,sugarcane
8,0.1009463737460141,0.126453297842006,0.2017231642602564,0.1948170837364661,0.1549565175481449,0.1173996581454069,47.22782611333333,sugarcane
9,0.13950227375336,0.2199869395793916,0.3689829386293043,0.3581368093411338,0.2831304284897222,0.1977055031983759,11.645574656666668,sugarcane
10,0.1067297497942443,0.1225342707337287,0.1942311305655066,0.1879843572500602,0.1620869587133554,0.1200764779443652,57.242156515000005,sugarcane
11,0.1051524627044628,0.1348138461051037,0.2521071432004882,0.2376468960681091,0.2010434874630946,0.1311663386949381,19.08562244,sugarcane
12,0.1028741657620909,0.1369039938961849,0.2461135162446884,0.2339804798165418,0.1808695635512503,0.125047786204386,28.69756745333333,sugarcane
13,0.1671924016739303,0.2327890518985369,0.3910844729241757,0.3863011318718104,0.3751304488294592,0.2944550154110639,7.806609920666666,sugarcane
14,0.0916579185919257,0.1105160067374661,0.178685143201221,0.169985831847972,0.1379130707645243,0.0990439172681358,53.01166049666667,sugarcane
15,0.1883981735365855,0.2395819893183237,0.407379698553296,0.4084659692958313,0.4530434694815879,0.3946462603153458,8.678608537,sugarcane
