,Leaf No.,Read number,gain,integration time,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,560 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,led,led current,saturation check,time,Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
11091,45,1,64,50,0.1409840497431738,0.1111123469285611,0.1667194321650661,0.0814337883741473,0.1394383757932151,0.2338035964161149,0.0935896577131757,0.0952624992551099,0.1361245342146497,0.0835087556964075,0.1094949212398818,0.1394690265486725,0.4474838709677419,0.3999858286686034,0.3342630887114872,0.3827320836644891,0.2982615726703052,0.3409267610013994,b'White IR',12.5 mA,b'OK Read',10:24:04,26.89243199333333,21.88646027333333,5.005971721000001,2.17340985,1.768615820666667,0.4047940299999999
11343,46,1,64,50,0.1538253582049202,0.1243590741749991,0.1856446575910009,0.0936461245640077,0.1657269044916289,0.2577588187381215,0.1079911581485699,0.1139503009355819,0.1760931965712931,0.0991695389668972,0.1295652021888494,0.1661592920353982,0.4513548387096774,0.3878693403245234,0.3398736815106922,0.3805222245914668,0.2982615726703052,0.3409267610013994,b'White IR',12.5 mA,b'OK Read',10:47:29,16.193003386666668,13.163380573333331,3.029622818,1.4457491976666663,1.1751523076666668,0.270596891
11595,47,1,64,50,0.1538253582049202,0.1192650346461422,0.1787929599099468,0.0814337883741473,0.1441340851430733,0.2395417806645642,0.1159086342018889,0.1102079733031404,0.139518348321856,0.0876726271715746,0.1167852584835399,0.1631858407079646,0.4591397849462366,0.3999858286686034,0.3426950081754352,0.3915909046852889,0.3114008489993936,0.3560877002021458,b'White IR',12.5 mA,b'OK Read',10:59:27,22.50631833,18.34497025,4.1613480780000005,1.9514537323333327,1.5904293166666663,0.3610244156666666
11847,48,1,64,50,0.1281427412814274,0.121300425986275,0.1856446575910009,0.0846940541131257,0.1460074064424884,0.2182859589398717,0.1389510348985196,0.1320064358500685,0.1655364925540179,0.1033334104420643,0.1569258203814752,0.1899469026548672,0.3969032258064516,0.3454262027917523,0.3455163348401783,0.3849613274662221,0.3311434539451519,0.3712486394028922,b'White IR',12.5 mA,b'OK Read',11:15:58,18.68269238333333,15.212891309999998,3.469801073333333,1.7420231016666667,1.4185483106666668,0.323474791
12099,49,1,64,50,0.1409840497431738,0.1151831296088266,0.1768347736360118,0.08713469997359,0.142254560792998,0.2253712328481025,0.1382276106906022,0.1344973481914069,0.1674193845708191,0.1127252538804969,0.1204391685169321,0.1958230088495575,0.4319139784946236,0.3878693403245234,0.3763906255009458,0.4269874193110667,0.3574556970554545,0.3939511740009329,b'White IR',12.5 mA,b'OK Read',9:17:38,30.34459299333333,24.41968986,5.924903130666666,1.896007199,1.5254402133333336,0.3705669856666667
12351,50,1,64,50,0.1666666666666666,0.1060183073997041,0.1422518751294708,0.0952762574334969,0.152582640142422,0.2344823625237568,0.0907093576260968,0.0940230022048745,0.1644041239285291,0.0876726271715746,0.1332191122222416,0.1483893805309734,0.4669247311827956,0.3999858286686034,0.3511269276393832,0.3938007637583112,0.2916582440536352,0.3333074171979474,b'White IR',12.5 mA,b'OK Read',9:32:24,18.61879543666667,15.265319533333331,3.3534759063333333,1.6119429413333333,1.3216472546666669,0.290295686
12603,51,1,64,50,0.1666666666666666,0.0927604577962161,0.124307697118222,0.0887648328430792,0.1356793270930643,0.2213247425910068,0.1526291111259963,0.1762111912281747,0.2680981473922604,0.1711813828679821,0.1624154268431266,0.2492743362831858,0.4824946236559139,0.4060795011691349,0.3848225449648937,0.4181285982902669,0.3223839363924264,0.3712486394028922,b'White IR',12.5 mA,b'OK Read',9:46:24,8.200334818,6.836217019,1.364117799666667,0.714189334,0.5968539110000001,0.117335423
12855,52,1,64,50,0.1666666666666666,0.0866431614187678,0.1099515729981356,0.0855045671041008,0.1281674327434232,0.2064806499446544,0.097193382008172,0.0990048268875514,0.1519612361251925,0.0897776955284647,0.1186209549117991,0.1483893805309734,0.4824946236559139,0.4303124778572946,0.3511269276393832,0.400430340977378,0.3070210902230308,0.3409267610013994,b'White IR',12.5 mA,b'OK Read',10:01:12,26.54998939,21.556398105,4.9935912855,1.8777225185,1.5243221595,0.3534003585
13107,53,1,64,50,0.1538253582049202,0.0988777541736644,0.1442100614034059,0.0773630096441939,0.1197188777440745,0.2152523965664877,0.1497488110389175,0.1344973481914069,0.133859796963672,0.0981285710981054,0.1076592248116225,0.1987964601769911,0.4786236559139785,0.4364061503578261,0.3595588471033311,0.4137088801442223,0.3618354558318173,0.3939511740009329,b'White IR',12.5 mA,b'OK Read',10:15:30,32.63734251333333,26.42514599,6.212196521333333,2.0979592093333337,1.6986574023333334,0.3993018073333333
13359,54,1,64,50,0.1666666666666666,0.1100890900799697,0.1582378668667847,0.0855045671041008,0.1319264814435739,0.2267235437856352,0.1648603389376381,0.155044395447232,0.1583703108746889,0.1210761294501376,0.1076592248116225,0.2047433628318584,0.4669247311827956,0.4242188053567633,0.3736013593664839,0.4269874193110667,0.3771983020012128,0.4091121132016794,b'White IR',12.5 mA,b'OK Read',10:30:53,35.641913653333326,28.643823536666662,6.998090118,2.314729379,1.8603096286666665,0.4544197503333333
13611,55,1,64,50,0.1409840497431738,0.1253823310235905,0.1895610301388709,0.0903949657125684,0.1539907326423135,0.2311094170965518,0.1267064103422868,0.1207913711936118,0.1414012403386572,0.0981285710981054,0.1259112921554572,0.1750796460176991,0.4357849462365591,0.381846524480975,0.3595588471033311,0.4114990210712002,0.3377130921096961,0.3712486394028922,b'White IR',12.5 mA,b'OK Read',10:45:58,30.05557363,24.14840175,5.907171881666667,2.222770464,1.7860449796666666,0.4367254839999999
13863,56,1,64,50,0.1795079751284131,0.089701809607492,0.120391324570352,0.0912054787035434,0.1445993139425969,0.2405547085482759,0.0770312813986201,0.079077528156844,0.2198342265000592,0.0876726271715746,0.1569258203814752,0.1305486725663716,0.5097204301075269,0.4364061503578261,0.3314738225770254,0.3539845309864888,0.2478269658378815,0.2954439433991603,b'White IR',12.5 mA,b'OK Read',10:59:26,9.583878396333333,7.896416810000001,1.6874615863333335,0.8741423393333334,0.7201794786666668,0.1539628606666666
